run:
Enter the total time to simulate for (minutes) : 720
REQNO	IAT	AT	SS	SE	ST	WAIT	IDLE
197	4	495	662	665	3	167	0
198	1	496	665	670	5	169	0
199	1	497	670	676	6	173	0
200	2	499	676	678	2	177	0
201	4	503	678	680	2	175	0
202	3	506	680	682	2	174	0
203	3	509	682	683	1	173	0
204	3	512	683	687	4	171	0
205	4	516	687	692	5	171	0
206	2	518	692	695	3	174	0
207	1	519	695	697	2	176	0
208	1	520	697	699	2	177	0
209	1	521	699	703	4	178	0
210	1	522	703	705	2	181	0
211	3	525	705	706	1	180	0
212	4	529	706	710	4	177	0
213	4	533	710	713	3	177	0
214	1	534	713	717	4	179	0
Total Requests Processed : 214
Average WAIT : 83.02325581395348
Averate Service Time : 3.3209302325581396
Averate IAT : 2.4976744186046513
BUILD SUCCESSFUL (total time: 2 seconds)
